,Name,Networth,Country,Source,Rank,Age,Industry
1302,Chetan Dube ,$2.4 B,United States,technology,1292,56,Technology 
1303,Daniel Ek ,$2.4 B,Sweden,Spotify,1292,39,Technology 
1304,John Fisher ,$2.4 B,United States,Gap,1292,60,Fashion & Retail 
1305,Bernard Fraisse & family ,$2.4 B,France,pharmaceuticals,1292,65,Healthcare 
1306,William Franke ,$2.4 B,United States,low-cost airlines,1292,84,Diversified 
1307,Caroline Hagen Kjos ,$2.4 B,Norway,conglomerate,1292,38,Diversified 
1308,Lam Kong ,$2.4 B,China,pharmaceuticals,1292,57,Healthcare 
1309,Hans Langer ,$2.4 B,Germany,3D printing,1292,70,Manufacturing 
1310,Joe Lau ,$2.4 B,United States,"blockchain, technology",1292,32,Technology 
1311,Kevin David Lehmann ,$2.4 B,Germany,drugstores,1292,19,Fashion & Retail 
1312,Liang Qin & family ,$2.4 B,China,semiconductor devices,1292,50,Technology 
1313,Peter Lim ,$2.4 B,Singapore,investments,1292,68,Finance & Investments 
1314,Sarah MacMillan ,$2.4 B,United States,Cargill,1292,68,Food & Beverage 
1315,Kalanithi Maran ,$2.4 B,India,media,1292,56,Media & Entertainment 
1316,Lirio Parisotto ,$2.4 B,Brazil,investments,1292,68,Finance & Investments 
1317,Rajan Raheja & family ,$2.4 B,India,diversified,1292,67,Diversified 
1318,Alberto Roemmers ,$2.4 B,Argentina,pharmaceuticals,1292,95,Healthcare 
1319,Rodney Sacks ,$2.4 B,United States,energy drinks,1292,72,Food & Beverage 
1320,Ferit Faik Sahenk ,$2.4 B,Turkey,diversified,1292,58,Diversified 
1321,Hilton Schlosberg ,$2.4 B,United Kingdom,energy drinks,1292,69,Food & Beverage 
1322,Alberto Siccardi & family ,$2.4 B,Switzerland,medical devices,1292,77,Healthcare 
1323,Salil Singhal ,$2.4 B,India,agrochemicals,1292,74,Manufacturing 
1324,Lucy Stitzer ,$2.4 B,United States,Cargill,1292,62,Food & Beverage 
1325,Otto Toto Sugiri ,$2.4 B,Indonesia,data centers,1292,68,Technology 
1326,Harley Sy ,$2.4 B,Philippines,diversified,1292,62,Diversified 
1327,Teresita Sy-Coson ,$2.4 B,Philippines,diversified,1292,71,Diversified 
1328,Katsumi Tada ,$2.4 B,Japan,real estate,1292,76,Real Estate 
1329,Tang Yiu ,$2.4 B,Hong Kong,fashion retail,1292,88,Fashion & Retail 
1330,Jeff Tangney ,$2.4 B,United States,healthcare IT,1292,49,Healthcare 
1331,Lottie Tham & family ,$2.4 B,Sweden,H&M,1292,72,Fashion & Retail 
1332,T.Y. Tsai ,$2.4 B,Taiwan,finance,1292,69,Finance & Investments 
1333,Timur Turlov ,$2.4 B,Russia,stock brokerage,1292,34,Finance & Investments 
1334,Hamdi Ulukaya ,$2.4 B,Turkey,greek yogurt,1292,49,Food & Beverage 
1335,Peter Unger ,$2.4 B,Germany,auto repair,1292,77,Automotive 
1336,Nikil Viswanathan ,$2.4 B,United States,blockchain technology,1292,34,Technology 
1337,Anthony Wood ,$2.4 B,United States,Roku,1292,56,Technology 
1338,Zhang Hongwei ,$2.4 B,China,"oil, banking",1292,67,Diversified 
1339,Zhang Li ,$2.4 B,China,real estate,1292,69,Real Estate 
1340,Houshan Bai ,$2.3 B,China,lithium battery,1341,58,Energy 
1341,Alex Beard ,$2.3 B,United Kingdom,"mining, commodities",1341,54,Metals & Mining 
1342,Koos Bekker ,$2.3 B,South Africa,"media, investments",1341,69,Media & Entertainment 
1343,William Boyd & family ,$2.3 B,United States,"casinos, banking",1341,90,Gambling & Casinos 
1344,Timothy Boyle ,$2.3 B,United States,Columbia Sportswear,1341,72,Fashion & Retail 
1345,Anand Burman ,$2.3 B,India,consumer goods,1341,69,Food & Beverage 
1346,Richard Chandler ,$2.3 B,New Zealand,investments,1341,63,Finance & Investments 
1347,R.G. Chandramogan ,$2.3 B,India,dairy,1341,73,Food & Beverage 
1348,Cho Young-sik ,$2.3 B,South Korea,diagnostics,1341,60,Healthcare 
1349,Chu Lam Yiu ,$2.3 B,Hong Kong,flavorings,1341,52,Manufacturing 
1350,Kommer Damen ,$2.3 B,Netherlands,shipbuilding,1341,78,Manufacturing 
1351,Henry Davis ,$2.3 B,United States,beef processing,1341,71,Food & Beverage 
1352,Ray Davis ,$2.3 B,United States,pipelines,1341,80,Energy 
1353,Stephen Feinberg ,$2.3 B,United States,private equity,1341,62,Finance & Investments 
1354,Kenneth Feld & family ,$2.3 B,United States,live entertainment,1341,73,Media & Entertainment 
1355,Alexander Frolov ,$2.3 B,Russia,"mining, steel",1341,57,Metals & Mining 
1356,Mario Germano Giuliani ,$2.3 B,Switzerland,pharmaceuticals,1341,50,Healthcare 
1357,Serge Godin ,$2.3 B,Canada,information technology,1341,72,Technology 
1358,Noam Gottesman ,$2.3 B,United States,hedge funds,1341,60,Finance & Investments 
1359,Philip & Cristina Green ,$2.3 B,United Kingdom,fashion retail,1341,70,Fashion & Retail 
1360,Yusuf Hamied ,$2.3 B,India,pharmaceuticals,1341,85,Healthcare 
1361,Bill Haslam ,$2.3 B,United States,gas stations,1341,63,Fashion & Retail 
1362,Hans-Werner Hector ,$2.3 B,Germany,SAP,1341,82,Technology 
1363,Ho Hung Anh ,$2.3 B,Vietnam,"consumer products, banking",1341,51,Finance & Investments 
1364,Douglas Hsu ,$2.3 B,Taiwan,diversified,1341,79,Diversified 
1365,Erman Ilicak ,$2.3 B,Turkey,construction,1341,54,Construction & Engineering 
1366,Zhaobai Jiang ,$2.3 B,China,real estate,1341,58,Real Estate 
1367,Osman Kibar ,$2.3 B,United States,biotech,1341,51,Healthcare 
1368,Adam Kwok ,$2.3 B,Hong Kong,real estate,1341,39,Real Estate 
1369,Frank Laukien ,$2.3 B,United States,scientific equipment,1341,62,Manufacturing 
1370,Louis Le Duff ,$2.3 B,France,bakeries,1341,75,Food & Beverage 
1371,Solomon Lew ,$2.3 B,Australia,retail,1341,77,Fashion & Retail 
1372,Liang Rubo ,$2.3 B,China,TikTok,1341,39,Technology 
1373,Liang Zhaoxian ,$2.3 B,China,appliances,1341,57,Manufacturing 
1374,Prayudh Mahagitsiri ,$2.3 B,Thailand,"coffee, shipping",1341,76,Food & Beverage 
1375,Clayton Mathile ,$2.3 B,United States,pet food,1341,81,Food & Beverage 
1376,Erwin Franz Mueller ,$2.3 B,Germany,drugstores,1341,89,Fashion & Retail 
1377,David Murdock ,$2.3 B,United States,"Dole, real estate",1341,98,Food & Beverage 
1378,Rubens Ometto Silveira Mello ,$2.3 B,Brazil,"sugar, ethanol",1341,72,Energy 
1379,Erik Paulsson & family ,$2.3 B,Sweden,"construction, real estate",1341,80,Real Estate 
1380,Heloise Pratt ,$2.3 B,Australia,"manufacturing, investment",1341,59,Manufacturing 
1381,Qiu Jianping & family ,$2.3 B,China,hand tools,1341,60,Manufacturing 
1382,Dirk Rossmann & family ,$2.3 B,Germany,drugstores,1341,75,Fashion & Retail 
1383,Karin Schick ,$2.3 B,Germany,information technology,1341,64,Technology 
1384,Stephan Schmidheiny ,$2.3 B,Switzerland,investments,1341,74,Finance & Investments 
1385,Wenrong Shen ,$2.3 B,China,steel production,1341,76,Metals & Mining 
1386,Guangxin Sun ,$2.3 B,China,diversified,1341,59,Diversified 
1387,Mengquan Sun & family ,$2.3 B,China,edible oil,1341,72,Food & Beverage 
1388,Thomas Tull ,$2.3 B,United States,"movies, investments",1341,51,Media & Entertainment 
1389,Ted Turner ,$2.3 B,United States,cable television,1341,83,Media & Entertainment 
1390,David Walentas ,$2.3 B,United States,real estate,1341,83,Real Estate 
1391,Yingming Wu ,$2.3 B,China,batteries,1341,55,Energy 
1392,Yingzhuo Xu ,$2.3 B,China,agribusiness,1341,54,Food & Beverage 
1393,Christoph Zeller ,$2.3 B,Liechtenstein,dental materials,1341,64,Healthcare 
1394,Zhang Wanzhen ,$2.3 B,China,electronics components,1341,72,Manufacturing 
1395,Xiaojuan Zhang ,$2.3 B,China,logistics,1341,52,Logistics 
1396,Michael Ashcroft ,$2.2 B,United Kingdom,security,1397,76,Finance & Investments 
1397,Alex Atallah ,$2.2 B,United States,online marketplace,1397,30,Technology 
1398,Brett Blundy ,$2.2 B,Australia,"retail, agribusiness",1397,62,Fashion & Retail 
1399,Chris Britt ,$2.2 B,United States,fintech,1397,49,Finance & Investments 
1400,Cen Junda ,$2.2 B,China,pharmaceuticals,1397,57,Healthcare 
1401,Yadu Hari Dalmia & family ,$2.2 B,India,cement,1397,74,Manufacturing 
1402,Zhenggang Dou ,$2.2 B,China,"energy, chemicals",1397,68,Diversified 
1403,Weimin Du ,$2.2 B,China,vaccines,1397,58,Healthcare 
1404,Devin Finzer ,$2.2 B,United States,online marketplace,1397,31,Technology 
1405,Robert Friedland ,$2.2 B,United States,mining,1397,71,Metals & Mining 
1406,Phillip Frost ,$2.2 B,United States,pharmaceuticals,1397,85,Healthcare 
1407,Jeffrey Gundlach ,$2.2 B,United States,investments,1397,63,Finance & Investments 
1408,John Hancock ,$2.2 B,Australia,mining,1397,46,Metals & Mining 
1409,Georg Haub ,$2.2 B,Germany,retail,1397,60,Fashion & Retail 
1410,Hortensia Herrero ,$2.2 B,Spain,supermarkets,1397,71,Fashion & Retail 
1411,"B. Wayne Hughes, Jr. ",$2.2 B,United States,storage facilities,1397,61,Real Estate 
1412,Bruce Karsh ,$2.2 B,United States,private equity,1397,66,Finance & Investments 
1413,Shlomo Kramer ,$2.2 B,Israel,"software, investments",1397,56,Technology 
1414,Jonathan Kwok ,$2.2 B,Hong Kong,Real Estate,1397,30,Real Estate 
1415,Christian Latouche ,$2.2 B,France,accounting services,1397,81,Finance & Investments 
1416,Martin Lau ,$2.2 B,Hong Kong,e-commerce,1397,49,Technology 
1417,Li Wa ,$2.2 B,Hong Kong,real estate,1397,56,Real Estate 
1418,Liang Xinjun ,$2.2 B,China,conglomerate,1397,54,Diversified 
1419,Lin Chang Su-O ,$2.2 B,Taiwan,real estate,1397,81,Real Estate 
1420,Lin Fanlian ,$2.2 B,China,"energy, real estate",1397,60,Energy 
1421,Lin Lairong & family ,$2.2 B,China,iron ore mining,1397,53,Metals & Mining 
1422,Daniel Lubetzky ,$2.2 B,United States,snack bars,1397,53,Food & Beverage 
1423,Howard Marks ,$2.2 B,United States,private equity,1397,75,Finance & Investments 
1424,Craig McCaw ,$2.2 B,United States,telecom,1397,72,Telecom 
1425,Vincent McMahon ,$2.2 B,United States,entertainment,1397,76,Sports 
1426,Mu Rongjun ,$2.2 B,China,e-commerce,1397,42,Technology 
1427,Jonathan Nelson ,$2.2 B,United States,private equity,1397,65,Finance & Investments 
1428,Bianca Rinehart ,$2.2 B,Australia,mining,1397,45,Metals & Mining 
1429,Ginia Rinehart ,$2.2 B,Australia,mining,1397,35,Metals & Mining 
1430,Filiz Sahenk ,$2.2 B,Turkey,diversified,1397,55,Diversified 
1431,S.D. Shibulal ,$2.2 B,India,software services,1397,67,Technology 
1432,Alexander Svetakov ,$2.2 B,Russia,real estate,1397,54,Finance & Investments 
1433,Jeffrey Talpins ,$2.2 B,United States,hedge fund,1397,47,Finance & Investments 
1434,Ming Tian ,$2.2 B,China,measuring instruments,1397,68,Technology 
1435,Arvind Tiku ,$2.2 B,India,"oil & gas, investments",1397,52,Energy 
1436,Torsten Toeller ,$2.2 B,Germany,pet food,1397,55,Fashion & Retail 
1437,Riaz Valani ,$2.2 B,United States,e-cigarettes,1397,45,Finance & Investments 
1438,Pieter van der Does ,$2.2 B,Netherlands,payments software,1397,52,Technology 
1439,Lang Walker ,$2.2 B,Australia,real estate,1397,76,Real Estate 
1440,Hope Welker ,$2.2 B,Australia,mining,1397,36,Metals & Mining 
1441,Xie Bingkun & family ,$2.2 B,China,pearlescent pigments,1397,55,Fashion & Retail 
1442,William Young ,$2.2 B,United States,plastics,1397,81,Manufacturing 
1443,Zhou Jian ,$2.2 B,China,solar energy equipment,1397,45,Energy 
1444,Bill and Jean Adderley & family ,$2.1 B,United Kingdom,home furnishings,1445,64,Fashion & Retail 
1445,Mohamed Al Fayed ,$2.1 B,Egypt,"retail, investments",1445,93,Fashion & Retail 
1446,Faisal Bin Qassim Al Thani ,$2.1 B,Qatar,"hotels, diversified",1445,74,Diversified 
1447,Masaaki Arai ,$2.1 B,Japan,home sales,1445,56,Real Estate 
1448,Tatyana Bakalchuk ,$2.1 B,Russia,ecommerce,1445,46,Fashion & Retail 
1449,Lee Bass ,$2.1 B,United States,"oil, investments",1445,65,Energy 
1450,Alberto Bombassei ,$2.1 B,Italy,automotive brakes,1445,81,Automotive 
1451,Jim Breyer ,$2.1 B,United States,venture capital,1445,60,Technology 
1452,Ron Burkle ,$2.1 B,United States,"supermarkets, investments",1445,69,Finance & Investments 
1453,Chen Huwen ,$2.1 B,China,stationery,1445,51,Manufacturing 
1454,Chen Huxiong ,$2.1 B,China,stationery,1445,51,Manufacturing 
1455,Chen Xuehua ,$2.1 B,China,nonferrous,1445,61,Metals & Mining 
1456,Bruce Cheng ,$2.1 B,Taiwan,electronics,1445,86,Technology 
1457,Ryan Cohen ,$2.1 B,Canada,investments,1445,36,Finance & Investments 
1458,Dermot Desmond ,$2.1 B,Ireland,finance,1445,71,Finance & Investments 
1459,Fred Ehrsam ,$2.1 B,United States,cryptocurrency exchange,1445,33,Finance & Investments 
1460,John Elkann ,$2.1 B,Italy,"FIAT, investments",1445,46,Finance & Investments 
1461,Bob Ell ,$2.1 B,Australia,real estate,1445,77,Real Estate 
1462,Fang Xiaoliang & family ,$2.1 B,China,biotech,1445,63,Healthcare 
1463,Lindsay Fox ,$2.1 B,Australia,"logistics, real estate",1445,84,Logistics 
1464,Gary Friedman ,$2.1 B,United States,Furniture retail,1445,64,Fashion & Retail 
1465,Gordon Getty ,$2.1 B,United States,Getty Oil,1445,88,Energy 
1466,Dennis Gillings ,$2.1 B,United Kingdom,clinical trials,1445,77,Healthcare 
1467,Harsh Goenka ,$2.1 B,India,diversified,1445,64,Diversified 
1468,David Hains ,$2.1 B,Australia,Investments,1445,91,Finance & Investments 
1469,Bahaa Hariri ,$2.1 B,Lebanon,"real estate, investments",1445,55,Real Estate 
1470,Shmuel Harlap ,$2.1 B,Israel,automotive,1445,77,Automotive 
1471,Gerry Harvey ,$2.1 B,Australia,retail,1445,82,Fashion & Retail 
1472,Reid Hoffman ,$2.1 B,United States,LinkedIn,1445,54,Technology 
1473,Hou Juncheng ,$2.1 B,China,cosmetics,1445,57,Healthcare 
1474,Thomas James ,$2.1 B,United States,finance,1445,79,Finance & Investments 
1475,Eiichi Kuriwada ,$2.1 B,Japan,package delivery,1445,75,Logistics 
1476,Kwek Leng Kee ,$2.1 B,Singapore,diversified,1445,67,Diversified 
1477,Lai Shixian ,$2.1 B,China,sports apparel,1445,47,Fashion & Retail 
1478,Lau Cho Kun ,$2.1 B,Malaysia,"palm oil, property",1445,86,Diversified 
1479,Lee Hae-jin ,$2.1 B,South Korea,Internet,1445,54,Technology 
1480,Harald Link ,$2.1 B,Thailand,diversified,1445,67,Diversified 
1481,Liu Xiucai & family ,$2.1 B,United States,chemicals,1445,65,Manufacturing 
1482,Yangyong Luo & family ,$2.1 B,China,mining,1445,46,Metals & Mining 
1483,Igor Makarov ,$2.1 B,Russia,investments,1445,60,Energy 
1484,Alexander Mamut ,$2.1 B,Russia,investments,1445,62,Finance & Investments 
1485,David Mindus ,$2.1 B,Sweden,real estate,1445,50,Real Estate 
1486,Yuji Otsuka ,$2.1 B,Japan,"copy machines, software",1445,68,Technology 
1487,Clive Palmer ,$2.1 B,Australia,mining,1445,68,Metals & Mining 
1488,Ajay Parekh ,$2.1 B,India,adhesives,1445,64,Manufacturing 
1489,Narendrakumar Parekh ,$2.1 B,India,adhesives,1445,83,Manufacturing 
1490,Xiangdong Qi ,$2.1 B,China,software,1445,51,Technology 
1491,Jianhua Ren ,$2.1 B,China,kitchen appliances,1445,65,Manufacturing 
1492,Alice Schwartz ,$2.1 B,United States,biotech,1445,95,Healthcare 
1493,Peter Sondakh ,$2.1 B,Indonesia,investments,1445,72,Finance & Investments 
1494,Song Fei ,$2.1 B,China,machinery,1445,55,Manufacturing 
1495,Timothy Springer ,$2.1 B,United States,biotech,1445,74,Healthcare 
1496,Suyu Su & family ,$2.1 B,China,"utilities, real estate",1445,73,Real Estate 
1497,Elizabeth Sy ,$2.1 B,Philippines,diversified,1445,69,Diversified 
1498,Sukanto Tanoto ,$2.1 B,Indonesia,diversified,1445,72,Diversified 
1499,Jayshree Ullal ,$2.1 B,United States,computer networking,1445,61,Technology 
1500,Sunny Varkey ,$2.1 B,India,education,1445,64,Service 
1501,Jitendra Virwani ,$2.1 B,India,real estate,1445,56,Real Estate 
1502,Wang Ren-sheng ,$2.1 B,Taiwan,retail,1445,90,Fashion & Retail 
1503,Wang Wenmo ,$2.1 B,China,sports apparel,1445,65,Fashion & Retail 
1504,Thomas Wu ,$2.1 B,Taiwan,finance,1445,72,Finance & Investments 
1505,Wu Ying ,$2.1 B,China,materials,1445,57,Manufacturing 
1506,Amy Wyss ,$2.1 B,United States,medical equipment,1445,51,Healthcare 
1507,Xiang Guangming & family ,$2.1 B,China,waste disposal,1445,58,Manufacturing 
1508,Xu Shugen ,$2.1 B,China,"construction, mining machinery",1445,56,Manufacturing 
1509,Steven Meng Yang & family ,$2.1 B,China,electronics,1445,39,Technology 
1510,Clayton Zekelman ,$2.1 B,Canada,steel,1445,53,Manufacturing 
1511,Hongfei Zhao ,$2.1 B,China,software,1445,47,Technology 
1512,S. Daniel Abraham ,$2 B,United States,Slim-Fast,1513,97,Food & Beverage 
1513,Aziz Akhannouch & family ,$2 B,Morocco,"petroleum, diversified",1513,61,Diversified 
1514,Andrey Andreev ,$2 B,United Kingdom,online dating,1513,48,Technology 
1515,Ramon Ang ,$2 B,Philippines,diversified,1513,68,Food & Beverage 
1516,Guilherme Benchimol ,$2 B,Brazil,financial services,1513,45,Finance & Investments 
1517,Julio Bozano ,$2 B,Brazil,banking,1513,86,Finance & Investments 
1518,Ryan Breslow ,$2 B,United States,e-commerce software,1513,27,Technology 
1519,Cao Jianwei ,$2 B,China,semiconductors,1513,43,Manufacturing 
1520,Herb Chambers ,$2 B,United States,car dealerships,1513,80,Automotive 
1521,Daniel Chiu ,$2 B,Hong Kong,oil & gas,1513,61,Energy 
1522,Tim Cook ,$2 B,United States,Apple,1513,61,Technology 
1523,Brunello Cucinelli & family ,$2 B,Italy,fashion,1513,68,Fashion & Retail 
1524,Georgi Domuschiev ,$2 B,Bulgaria,"animal health, investments",1513,49,Diversified 
1525,Kiril Domuschiev ,$2 B,Bulgaria,"animal health, investments",1513,52,Diversified 
1526,Glenn Dubin ,$2 B,United States,hedge funds,1513,64,Finance & Investments 
1527,James Duff ,$2 B,United States,"tires, diversified",1513,61,Diversified 
1528,Thomas Duff ,$2 B,United States,"tires, diversified",1513,65,Diversified 
1529,Robert Duggan ,$2 B,United States,pharmaceuticals,1513,77,Healthcare 
1530,Maria Franca Fissolo ,$2 B,Italy,"Nutella, chocolates",1513,87,Food & Beverage 
1531,Fu Mingkang & family ,$2 B,China,manufacturing,1513,59,Manufacturing 
1532,Jay Hennick ,$2 B,Canada,real estate finance,1513,65,Finance & Investments 
1533,Orion Hindawi ,$2 B,United States,software,1513,42,Technology 
1534,Ji Qi ,$2 B,China,"hotels, motels",1513,55,Real Estate 
1535,Kim Chang-soo ,$2 B,South Korea,apparel,1513,61,Fashion & Retail 
1536,Vyacheslav Kim ,$2 B,Kazakhstan,fintech,1513,52,Finance & Investments 
1537,Kuan Kam Hon & family ,$2 B,Malaysia,rubber gloves,1513,74,Manufacturing 
1538,Egor Kulkov ,$2 B,Russia,pharmaceuticals,1513,50,Healthcare 
1539,Josh Kushner ,$2 B,United States,venture capital,1513,36,Finance & Investments 
1540,Henry Laufer ,$2 B,United States,hedge funds,1513,76,Finance & Investments 
1541,Thomas Lee ,$2 B,United States,private equity,1513,78,Finance & Investments 
1542,Michael Lee-Chin ,$2 B,Canada,mutual funds,1513,71,Finance & Investments 
1543,Li Xuhui ,$2 B,China,soy sauce,1513,53,Food & Beverage 
1544,Lim Kok Thay ,$2 B,Malaysia,casinos,1513,70,Gambling & Casinos 
1545,Joao Roberto Marinho ,$2 B,Brazil,media,1513,68,Media & Entertainment 
1546,Jose Roberto Marinho ,$2 B,Brazil,media,1513,66,Media & Entertainment 
1547,Roberto Irineu Marinho ,$2 B,Brazil,media,1513,74,Media & Entertainment 
1548,Jim McKelvey ,$2 B,United States,mobile payments,1513,56,Technology 
1549,Robert Miller ,$2 B,United Kingdom,retail,1513,88,Fashion & Retail 
1550,David Nahmad ,$2 B,Monaco,art collection,1513,74,Fashion & Retail 
1551,Florentino Perez ,$2 B,Spain,construction,1513,75,Construction & Engineering 
1552,Jennifer Pritzker ,$2 B,United States,"hotels, investments",1513,71,Finance & Investments 
1553,Linda Pritzker ,$2 B,United States,"hotels, investments",1513,68,Service 
1554,P.V. Ramprasad Reddy ,$2 B,India,pharmaceuticals,1513,64,Healthcare 
1555,"Joe Rogers, Jr. ",$2 B,United States,Waffle House,1513,75,Food & Beverage 
1556,Ruan Shuilong & family ,$2 B,China,chemicals,1513,86,Manufacturing 
1557,Phil Ruffin ,$2 B,United States,"casinos, real estate",1513,87,Diversified 
1558,Vinod Saraf ,$2 B,India,chemicals,1513,69,Manufacturing 
1559,Maria-Elisabeth Schaeffler-Thumann ,$2 B,Germany,auto parts,1513,80,Automotive 
1560,Genhuo Shao ,$2 B,China,agribusiness,1513,56,Food & Beverage 
1561,Shen Xiqiang & family ,$2 B,China,chemical,1513,74,Energy 
1562,Shi Wen-long ,$2 B,Taiwan,plastics,1513,94,Manufacturing 
1563,Thaksin Shinawatra ,$2 B,Thailand,investments,1513,72,Finance & Investments 
1564,Alexander Skorobogatko ,$2 B,Russia,"real estate, airport",1513,54,Logistics 
1565,Sylvia Stroeher ,$2 B,Germany,cosmetics,1513,66,Fashion & Retail 
1566,Wichai Thongtang ,$2 B,Thailand,investments,1513,75,Finance & Investments 
1567,Todd Wagner ,$2 B,United States,online media,1513,61,Media & Entertainment 
1568,Wang Jianguo ,$2 B,China,retail,1513,62,Fashion & Retail 
1569,Shuifu Wang ,$2 B,China,Manufacturing,1513,67,Manufacturing 
1570,Wenbiao Wang ,$2 B,China,"natural gas, fertilizers",1513,65,Manufacturing 
1571,Kanye West ,$2 B,United States,"music, sneakers",1513,44,Fashion & Retail 
1572,Evan Williams ,$2 B,United States,Twitter,1513,50,Technology 
1573,Zhongyi Wu ,$2 B,China,electronics,1513,48,Technology 
1574,Zhihan Xu ,$2 B,China,electronics,1513,49,Technology 
1575,Yan Zhi ,$2 B,China,real estate,1513,49,Real Estate 
1576,Michael Ying ,$2 B,Hong Kong,retail,1513,72,Fashion & Retail 
1577,Yuan Liping ,$2 B,Canada,pharmaceuticals,1513,51,Healthcare 
1578,Anu Aga ,$1.9 B,India,engineering,1579,79,Construction & Engineering 
1579,Joy Alukkas ,$1.9 B,India,jewelry,1579,65,Fashion & Retail 
1580,Sezai Bacaksiz ,$1.9 B,Turkey,diversified,1579,72,Diversified 
1581,Baokun Bai ,$1.9 B,China,hardware,1579,52,Manufacturing 
1582,Acharya Balkrishna ,$1.9 B,India,consumer goods,1579,49,Food & Beverage 
1583,Kiki Barki ,$1.9 B,Indonesia,coal,1579,82,Energy 
1584,John Bloor ,$1.9 B,United Kingdom,"real estate, manufacturing",1579,78,Diversified 
1585,Nicola Bulgari ,$1.9 B,Italy,luxury goods,1579,81,Fashion & Retail 
1586,Alejandro Bulgheroni ,$1.9 B,Argentina,oil & gas,1579,77,Energy 
1587,Chen Kaichen ,$1.9 B,China,household chemicals,1579,64,Manufacturing 
1588,Fernando Chico Pardo ,$1.9 B,Mexico,airport management,1579,70,Service 
1589,Jose Luis Cutrale ,$1.9 B,Brazil,orange juice,1579,75,Food & Beverage 
1590,D. Leopoldo Del Pino ,$1.9 B,Spain,construction,1579,59,Construction & Engineering 
1591,James Dinan ,$1.9 B,United States,hedge funds,1579,62,Finance & Investments 
1592,Francois Feuillet & family ,$1.9 B,France,"motorhomes, RVs",1579,73,Automotive 
1593,Guangming Fu & family ,$1.9 B,China,poultry,1579,68,Food & Beverage 
1594,Mario Gabelli ,$1.9 B,United States,money management,1579,80,Finance & Investments 
1595,Reinold Geiger ,$1.9 B,Austria,beauty products,1579,74,Fashion & Retail 
1596,He Zhenggang ,$1.9 B,China,chemicals,1579,68,Manufacturing 
1597,Roberto Hernandez Ramirez ,$1.9 B,Mexico,"banking, investments",1579,80,Finance & Investments 
1598,Hoi Kin Hong ,$1.9 B,Macau,real estate,1579,69,Real Estate 
1599,Huang Qiaoling ,$1.9 B,China,amusement parks,1579,63,Media & Entertainment 
1600,Willis Johnson ,$1.9 B,United States,damaged cars,1579,74,Automotive 
1601,Keeree Kanjanapas ,$1.9 B,Thailand,transportation,1579,71,Real Estate 
1602,Kim Dae-il ,$1.9 B,South Korea,mobile gaming,1579,42,Technology 
1603,Kim Hyoung-nyon ,$1.9 B,South Korea,fintech,1579,46,Finance & Investments 
1604,Andrei Kozitsyn ,$1.9 B,Russia,metals,1579,61,Metals & Mining 
1605,Thomas Kwok ,$1.9 B,Hong Kong,real estate,1579,70,Real Estate 
1606,Lei Jufang ,$1.9 B,China,pharmaceuticals,1579,69,Healthcare 
1607,David Lichtenstein ,$1.9 B,United States,real estate,1579,60,Real Estate 
1608,Lin Dingqiang & family ,$1.9 B,Hong Kong,real estate,1579,55,Real Estate 
1609,Mikhail Lomtadze ,$1.9 B,Georgia,fintech,1579,46,Finance & Investments 
1610,Melissa Ma ,$1.9 B,China,Internet search,1579,64,Technology 
1611,Yusaku Maezawa ,$1.9 B,Japan,online retail,1579,46,Technology 
1612,Katarina Martinson ,$1.9 B,Sweden,investments,1579,40,Diversified 
1613,Shouliang Miao ,$1.9 B,China,real estate,1579,67,Real Estate 
1614,Romano Minozzi ,$1.9 B,Italy,"utilities, diversified",1579,87,Diversified 
1615,Pedro Moreira Salles ,$1.9 B,Brazil,"banking, minerals",1579,62,Diversified 
1616,Alexander Nesis ,$1.9 B,Russia,"metals, banking, fertilizers",1579,59,Finance & Investments 
1617,Nguyen Dang Quang ,$1.9 B,Vietnam,"consumer products, banking",1579,58,Food & Beverage 
1618,Oei Hong Leong ,$1.9 B,Singapore,investments,1579,74,Finance & Investments 
1619,Nihat Ozdemir ,$1.9 B,Turkey,diversified,1579,72,Diversified 
1620,Gretel Packer ,$1.9 B,Australia,casinos,1579,56,Media & Entertainment 
1621,Benjamin Zhengmin Pan & family ,$1.9 B,China,electronics,1579,52,Technology 
1622,Victor Pinchuk ,$1.9 B,Ukraine,"steel pipes, diversified",1579,61,Metals & Mining 
1623,Alexander Ponomarenko ,$1.9 B,Russia,"real estate, airport",1579,57,Logistics 
1624,Qi Jinxing ,$1.9 B,China,real estate,1579,60,Real Estate 
1625,Larry Robbins ,$1.9 B,United States,hedge funds,1579,52,Finance & Investments 
1626,Dwight Schar ,$1.9 B,United States,"homebuilding, NFL team",1579,80,Construction & Engineering 
1627,Shi Yifeng ,$1.9 B,China,medical cosmetics,1579,48,Healthcare 
1628,Sun Hongjun ,$1.9 B,China,semiconductors,1579,48,Technology 
1629,Anand Surana ,$1.9 B,India,pharmaceuticals,1579,51,Healthcare 
1630,Dilip Surana ,$1.9 B,India,pharmaceuticals,1579,56,Healthcare 
1631,Djoko Susanto ,$1.9 B,Indonesia,supermarkets,1579,72,Fashion & Retail 
1632,Sze Man Bok ,$1.9 B,China,hygiene products,1579,72,Manufacturing 
1633,Alain Taravella ,$1.9 B,France,real estate development,1579,74,Real Estate 
1634,Martin Viessmann ,$1.9 B,Germany,heating and cooling equipment,1579,68,Manufacturing 
